,Review Text,Review,Recommends
0,"Friendly staff, good food and homely environment 💜💜💜","বন্ধুত্বপূর্ণ কর্মীরা, ভাল খাবার এবং ঘরোয়া পরিবেশ 💜💜💜",True
1,Well...The Food was Good___Intrerior design is nice... Environment was soo quite Fakafaka😜 Background music was too good... I gives you 9/10😊,ভাল ... খাবারটি ভাল ছিল___Intrerior ডিজাইনটি দুর্দান্ত ... পরিবেশটি বেশ ফাকফাকা ছিল was পটভূমি সংগীত খুব ভাল ছিল ... আমি আপনাকে 9 / 10😊 দিই,True
2,"The man who is foodie like me for him arabian master is a nice place. Environment and food quality is too good. Specially their staffs’ behaviour are so nice. Good environment, quality food and and suitable price with these arabian master is awesome in a word.","আরবীয় মাস্টার তার জন্য আমার মতো খাবারি মানুষটি খুব সুন্দর জায়গা। পরিবেশ এবং খাবারের মানও খুব ভাল। বিশেষত তাদের কর্মীদের আচরণ এত সুন্দর। এই আরবীয় মাস্টারের সাথে ভাল পরিবেশ, মানের খাবার এবং উপযুক্ত দাম এক কথায় দুর্দান্ত।",
3,ordered pizza and they were unable to serve then ordered set menu and then they took more than one hour to serve that setmenu.. and food quatity was so poor. please develop these quAlities.customers will surely come to enjoy. but my and my friends experience is so pathetic.as I proposed them to go there so it was my concern.so pathetic. 😑,পিজ্জা অর্ডার করে এবং তারা সেট করতে না পারার পরে সেট মেন্যু অর্ডার করতে পেরেছিল এবং তারপরে তারা সেই সেটম্যানুকে পরিবেশন করতে এক ঘণ্টারও বেশি সময় নিয়েছিল .. এবং খাবারের পরিমাণ এতটাই খারাপ ছিল। দয়া করে এই জাতীয়তা বিকাশ করুন। গ্রাহকরা অবশ্যই উপভোগ করতে আসবেন। তবে আমার এবং আমার বন্ধুদের অভিজ্ঞতা এত করুণ। আমি তাদের সেখানে যাওয়ার প্রস্তাব দিয়েছিলাম তাই এটি আমার উদ্বেগ। তাই করুণ pat 😑,False
4,"This place is too much comfortable & food is delicious.. Every Item Is testy & pizza or set menu is Best... & most important Thing is Their behavior is friendly..It is very good place..environment is good enough.. behavior of all the staff is good and prices are reasonable.. Over all I liked their service system, Their behavior, Their place Everything..","এই জায়গাটি অনেক বেশি স্বাচ্ছন্দ্যযুক্ত এবং খাবার সুস্বাদু .. প্রতিটি আইটেমটি টেস্টি এবং পিজ্জা বা সেট মেনু সেরা ... সমস্ত কর্মীদের আচরণ ভাল এবং মূল্য যুক্তিসঙ্গত .. সর্বোপরি আমি তাদের পরিষেবা ব্যবস্থা পছন্দ করেছি, তাদের আচরণ, তাদের জায়গা সবকিছু ..",
5,#5star great and very welcoming atmosphere.. pizza was greatest best...,# 5 স্টার দুর্দান্ত এবং খুব স্বাগত বায়ুমণ্ডল .. পিজ্জা ছিল সেরা সেরা ...,True
6,"I check it out like a second home of mine...feel frequent and relaxed....well manner, frankly attitude and of course fresh food have been delivered.. go ahead with a lot of warm wishes and undoubtedly with good food ..","আমি এটি আমার দ্বিতীয় বাড়ির মতোই পরীক্ষা করে দেখি ... ঘন ঘন এবং স্বচ্ছন্দ বোধ করি .... ভালভাবে, খোলামেলা মনোভাব এবং অবশ্যই তাজা খাবার সরবরাহ করা হয়েছে .. অনেক উষ্ণ শুভেচ্ছার সাথে এবং নিঃসন্দেহে ভাল খাবারের সাথে এগিয়ে যান। ।",
7,Arabian Masters interior decoration is unique.Its food is tasty & a little bit spicy..Their staffs are very friendly..😊,আরবীয় মাস্টার্সের অভ্যন্তর প্রসাধনটি অনন্য। এটি খাবার সুস্বাদু এবং কিছুটা মশলাদার ... তাদের কর্মীরা খুব বন্ধুত্বপূর্ণ.. are,True
8,"you guys are awesome & I just love your ""offer pizza"" #tasty #Reasonableprice","আপনি ছেলেরা দুর্দান্ত এবং আমি আপনার ""অফার পিজ্জা"" # সুস্বাদু # যুক্তিসঙ্গত পছন্দ করি love",
9,Well behave Food was testy,ভাল আচরণ খাদ্য পরীক্ষা ছিল,True
10,"Went there after referred by a friend. Tried their ""Cheese cream pasta"" and it was totally worth it. They have a variety of set meals and pizzas. NB: To all those who already owe a treat to their friends, trust me this is the best option you have!","একটি বন্ধু রেফারেন্স পরে সেখানে গিয়েছিলাম। তাদের ""পনির ক্রিম পাস্তা"" চেষ্টা করেছিলেন এবং এটি একেবারেই মূল্যবান। তাদের বিভিন্ন ধরণের সেট খাবার এবং পিজ্জা রয়েছে। নোট: যারা ইতিমধ্যে তাদের বন্ধুদের কাছে একটি আচরণের পাওনা আছে তাদের কাছে, আমার উপর বিশ্বাস রাখুন এটি আপনার কাছে সেরা বিকল্প!",
11,Arabian's food so yummy 😊😊😊and my niece also like to eat Arabian's food🍟🍟😋😋,আরবীয়দের খাবার এত সুস্বাদু এবং আমার ভাগ্নীও আরবীয়দের খাবার খেতে পছন্দ করে 🍟🍟😋😋,True
12,"I went there for a family dinner . Had the set menu with BBQ chicken and naan, and believe me when I tell you I was utterly disgusted to my core as I've never had BBQ chicken or rather any food in any restaurant that bad. The chicken was bland as hell, tasted like a boiled piece of rubber and almost smelled bad . I don't know if they were having a bad day or something, but the most painful thing was it took them more than 1:30 hours to serve that 'Horror in a plate' .My parents had other set menu items which also included BBQ chicken that tasted almost as bad as mine. Though the staff behavior was good it doesn't make up for the bad food and the long wait. I don't know if my experience was an accident on their part or not but it sure was horrific .","আমি সেখানে পারিবারিক নৈশভোজ করতে যাই। বিবিকিউ মুরগি এবং নানের সাথে সেট মেনু রেখেছিল এবং বিশ্বাস করুন যখন আমি আপনাকে বলি যে আমি আমার কোর সম্পর্কে একেবারে ঘৃণিত হয়েছিলাম কারণ আমার কোনও বিবিকিউ মুরগী ​​বা কোনও রেস্তোঁরায় খারাপ হয়নি। মুরগিটি নরকের মতো কুঁচকানো ছিল, রাবারের সেদ্ধ টুকরোটির মতো স্বাদযুক্ত এবং প্রায় দুর্গন্ধযুক্ত ছিল। আমি জানি না তাদের কোনও খারাপ দিন বা কিছু ছিল কিনা, তবে সবচেয়ে বেদনাদায়ক বিষয়টি হ'ল 'প্লেটে হরর' পরিবেশন করতে তাদের 1:30 ঘন্টা বেশি সময় লেগেছিল। আমার বাবা-মায়েদের অন্য সেট মেনু আইটেমগুলি ছিল যা এতে অন্তর্ভুক্ত ছিল বিবিকিউ মুরগি যা আমার হিসাবে প্রায় খারাপ হিসাবে স্বাদযুক্ত। যদিও কর্মীদের আচরণ ভাল ছিল এটি খারাপ খাবার এবং দীর্ঘ প্রতীক্ষার জন্য তৈরি করে না। আমার অভিজ্ঞতাটি তাদের পক্ষে দুর্ঘটনা ছিল কিনা তা আমি জানি না তবে এটি নিশ্চিতভাবেই ভয়াবহ ছিল।",
13,akankar khabare man onnoto. valo testi o mojader. are service better. amader sobaike mogdho kore dilo,একানকার খাবারে মান উন্নত. ভালো টেস্টি ও মজাদার. অরে সার্ভিস বেটার. আমাদের সবাইকে মুগ্ধ করে দিলো,True
14,Everything is great..Perfect for all types of event. Only the negative issue is bad smell in ground floor and not much clean.,সবকিছু দুর্দান্ত..সব ধরণের ইভেন্টের জন্য উপযুক্ত। কেবল নেতিবাচক সমস্যাটি হ'ল তলদেশের দুর্গন্ধ এবং খুব পরিষ্কার নয়।,
15,"Last two times we went their with some best buddy....I think its really a good place for different type of party's and hangouts with cutie and lovely friends with delicious foods...Pizza is the best in this restaurant...And,their servable is too good...!! (Little bit problem their decoration system) But,above all its good..�","গত দু'বার আমরা কিছু সেরা বন্ধুকে নিয়ে তাদের সাথে গিয়েছিলাম .... আমি মনে করি এটি বিভিন্ন ধরণের পার্টির জন্য এবং হ্যাশআউটের জন্য চটি এবং সুস্বাদু খাবারের সাথে সুদৃ friends় বন্ধুবান্ধবদের জন্য সুন্দর জায়গা ... এই রেস্তোঁরাটিতে পিজা সেরা ... , তাদের পরিসেবা খুব ভাল ... !! (তাদের সাজসজ্জা ব্যবস্থায় কিছুটা সমস্যা) তবে সর্বোপরি এটি ভাল..� �",
16,They served tasty and good quality food �,তারা সুস্বাদু এবং ভাল মানের খাবার পরিবেশন করেছে �,
17,It is really a good place. Just awesome. Their behaviour is also good.Best hospitality. Food is also best.Every food really testy and reasonable price.This place is best for couples friends and family. Their interior design is looking so much beautiful..... Iloved everything,এটি সত্যিই একটি ভাল জায়গা। তুলনাহীন. তাদের আচরণও ভাল B সর্বোপরি আতিথেয়তা। খাদ্যও সর্বোত্তম very তাদের অভ্যন্তর নকশা দেখতে অনেক সুন্দর দেখাচ্ছে ..... সমস্ত কিছু অবহিত,
18,It is very good place..Foods are really tasty.. environment is good enough.. we can see the view of lalbag kella from here..behavior of all the staff is good and prices are reasonable..,এটি খুব ভাল জায়গা .. খাবারগুলি সত্যই সুস্বাদু .. পরিবেশ যথেষ্ট ভাল .. আমরা এখান থেকে লালব্যাগ কেলার দৃশ্য দেখতে পাচ্ছি .. সমস্ত স্টাফের আচরণ ভাল এবং দাম যুক্তিসঙ্গত ..,
19,most comfortable place ever for meh... specially their behavr is so frndlyy�,আমার জন্য সবচেয়ে আরামদায়ক জায়গা বিশেষত তাদের আচরণ এতটা বন্ধুত্বপূর্ণ �,
20,Today I was parcel 4 crispy chicken fried. I reached my house & some little bit while I am started eat and it is very bad smell & couldn't not possible to eat......another many times same case of other item....sometimes it is really to bad,আজ আমি পার্সেল 4 ক্রাইপি মুরগি ভাজা ছিল। আমি আমার বাড়িতে পৌঁছে গিয়েছিলাম এবং খাওয়া শুরু করার সময় কিছুটা হলেও এটি খুব দুর্গন্ধযুক্ত এবং খেতে পারা যায় না ...... অন্য আইটেমের সাথে আবারও বহুবার একই ঘটনা ঘটে .... কখনও কখনও এটি সত্যই হয় খারাপ,
21,"Combination of a great place to hang out with friends ,mouth watering food specially the pizza. �","বন্ধুদের সাথে ঘুরে বেড়ানোর জন্য দুর্দান্ত জায়গার সংমিশ্রণ, বিশেষত পিজ্জা দিয়ে খাবার জল খাওয়ানো।",
22,So nice place had a great time loved it��� So yummy pizza and pasta i like it so much��� Pizza price is so reasonable............,এত সুন্দর জায়গাটি খুব ভাল লেগেছে ��� তাই মুখরোচক পিজ্জা এবং পাস্তা আমার খুব ভাল লাগে ��� পিৎজার দাম এত যুক্তিসঙ্গত ............,
23,All the best Arabian Master��� I liked it.just carry on�����,সমস্ত সেরা আরবীয় মাস্টার - আমি এটি পছন্দ করেছি carry,
