,comments,sentiment
0,আমি দারাজ  থেকে এই পণ্য কিনে সন্তুষ্ট 👌👍😍,Positive
1,কর্মক্ষমতা ভাল না,Negative
2,আমি দারাজ এর কাছে  কৃতজ্ঞ।,Positive
3, এটা অবশ্যই খুব ভাল পণ্য ,Positive
4,সম্পূর্ণ সন্তুষ্ট .... সত্যিই চিত্তাকর্ষক,Positive
5,১০০%  জেনুইন পাওয়ার ব্যাংক ,Positive
6,একদম হিট & ফিট 👌👌👌,Positive
7,"খুব সুন্দর হয়েছে মোবাইলের সাথে, ",Positive
8,অসাধারণ একটি কভার,Positive
9,কিসের টেম্পার সব ভুয়া ,Negative
10,ভেরি গুড প্রডাক্ট এন্ড সার্ভিসিং,Positive
11, গুণমান  খুব খারাপ,Negative
12,জাল পণ্য।,Negative
13,"প্রত্যাশিত ছিল, ",Positive
14,তবে অভারঅল কেসিং পছন্দ হয়েছে।,Positive
15,আপনাকে অসংখ্য ধন্যবাদ।,Positive
16,আপনার টাকা নষ্ট করবেন না!,Negative
17,ফ্রেশ ছিলো দেখার বিষয় ফোনে লাগালে কেমন হয়,Positive
18,সবচেয়ে খারাপ মানের। ,Negative
19,অসন্তোষজনক।,Negative
20, ভাল মানের.,Positive
21,পন্যটি অরিজিনাল। ,Positive
22,এটা খুব আরামদায়ক।,Negative
23, ফ্যাব্রিক ভাল না। ,Negative
24,কম দামে অস্থির ফোন।,Positive
25,অরজিনাল ফোন।  ,Positive
26,ভাল সার্ভিস পাচ্ছি। ,Positive
27,আমি এই পণ্যের সাথে খুশি,Positive
28,তুলনামূলক কম দামে সেরা প্রোডাক্ট,Positive
29,"টাকা অপচয়, পুরোপুরি!",Negative
30,মান ভয়ানক ছিল! ,Negative
31,আপনাদের এসব প্যাচানো সিস্টেম বাদ দিন।,Negative
32,সুন্দর চেহারা এবং আকর্ষণীয়।  ,Positive
33,আমি এই টি-শার্ট পরতে ভালোবাসি। ,Positive
34,মান সম্পর্কে খুব সন্দেহ নেই কোন সন্দেহ নেই ... ,Positive
35,"সত্যিই খুব সস্তা, ",Negative
36,এই দামে খুব ই ভাল ফোন,Positive
37,সাউন্ড ভালো। ধন্যবাদ ,Positive
38,এটার উপর থেকে স্টিকার সরে গেল কেন..?,Negative
39,দুই নাম্বার পণ্য।,Negative
40,প্রাইজ না কমে বেড়ে গেল.,Negative
41,অবশেষে হুয়াওয়ে ওয়াই ৯ কিনে সন্তুষ্ট।,Positive
42,এখন পর্যন্ত আপনার সেবা ভাল।,Positive
43,পণ্য ঠিক মনে হচ্ছে।,Positive
44,সেরা পাওয়ার ব্যাংক,Positive
45, পণ্যটিতে আপাতত কোন ডিস্কাউন্ট অফার নেই,Negative
46,আমার জীবনে দেখা সবচাইতে খারাপ পণ্য। ,Negative
47,সম্পূর্ণরূপে একটি জাল পণ্য 🤮😒😞😑,Negative
48,প্রডাক্টটি অর্ডার অনুযায়ী পেয়েছি।,Positive
49,কিনতে পারেন কোন সন্দেহ ছাড়া ।,Positive
50,ভাল মনে হয়েছে এখন পর্যন্ত।,Positive
51,কম টাকায় ভাল ফোন । ,Positive
52,বাজে ফোন,Negative
53,ভাই মোবাইলটা হাতে নেয়ার ১ঘণ্ঠা পর ডিসপ্লে নষ্ট হয়েগেছে।,Negative
54,ভাইয়া নেট প্রাইজের চেয়ে বেশি ধরা হয়েছে,Negative
55,স্বল্প মূল্যে এত ভাল আশা করি নাই।,Positive
56,ভালো মোবাইল।,Positive
57,ডিসপ্লে খুব খারাপ|,Negative
58,পরিষ্কার লাগবে না ঝিরঝির লাগবে ,Negative
59,Video দেখে ভালো লাগবে না |,Negative
60,ভালো লাগলো আন্তর্জাতিক ব্র্যান্ড গুলো এখন বাংলাদেশেই পাওয়া যাচ্ছে,Positive
61,আসল প্রডাক্ট. ডেলিভারি প্যাকেজিং খুবই ভালো ছিল।,Positive
62,"ফোনটা দেখতে অনেক স্টাইলি, সেকেন্ডারি ফোন হিসেবে অনেক ভাল হবে।",Positive
63,সব কিছু ঠিক ঠাক ছিল,Positive
64,", ফোন আসলেই সুন্দর, সুন্দর লুক",Positive
65,আমি সন্তুষ্ট.....ধন্যবাদ DARAZ......,Positive
66,ঢাকার বাহিরে সেবাটি বন্ধ আছে। ,Negative
67,এটার কোয়ালিটি ভাল না,Negative
68,এইরকম ফাইজলামি করার মানে কি?,Negative
69,ই-কোরিয়ার সার্ভিস অসম্ভব ভালো।,Positive
70,"ওয়াও, অরজিনাল প্রোডাক্ট। ",Positive
71," ধুরু, অমাকে হয়রানি করলেন",Negative
72,শাওমিও এখন খারাপ জিনিস দিচ্ছে ,Negative
73,মানুষকে না ঠকিয়ে ভাল প্রোডাক্ট দেওয়ার ব্যবস্থা করেন।,Negative
74,এতো বাজে কমেন্টস দেখে কেনার সাহস হারিয়ে ফেলেছি,Negative
75,এইসব বাজে কমেন্ট আর রিভিউ .,Negative
76,"ফাস্ট চার্জ হয় না, ",Negative
77,"এখনও কোন সমস্যা হয়নি, ভালই চলছে ।",Positive
78,আমাকে নষ্ট একটা পাওয়ার ব্যাংক দিসে,Negative
79,", আগে খুব ভাল ছিল, ",Negative
80,খুবই ভালো মানের প্রোডাক্ট......,Positive
81,আপনাদের জিনিষ ফালতু কেনো? ,Negative
82,দারাজ এখন চিটিং শুরু করছে,Negative
83,"মান অনুযায়ী অনেক ভাল, ",Positive
