,bangla,banglish
0,কমান্ডহীন,commandhin
1,ব্যাপারও,byaparo
2,লোকসভার,loksabhar
3,সামর্থের,samorther
4,রাজীবকুমারের,rajibkumarer
5,তোবগের,tobger
6,বাঁক,bynak
7,কোঅপারেটিভ,coperative
8,ভাগটুকু,bhagtuku
9,১১৬বি,116b
10,প্রতিবাদীরাও,
11,শিল্প,Shilpo
12,রাজ্যজয়ের,rajjojoyer
13,ময়নাতদন্তকারী,moynatodontokari
14,বিষধরকে,bishodhorke
15,উপবাস,upobas
16,শুভ্রকান্তি,shubhrokanti
17,পচে,poche
18,১১নং,egaro nombor
19,কল্যাণেশ্বর,kolyanessor
20,বেশকয়েকজন,beshkoyekjon
21,পেশাদারি,peshadari
22,নজদারি,nojdari
23,টুকরোও,tukro
24,মাহির,mahir
25,জাভেদজি,javedji
26,ছক্কাও,chakkao
27,পাত্রপক্ষকেও,patropokhyokeo
28,সিআরসেভেনকে,CR7ke
29,ধারাবাহিকভাবে,dharabahikvabe
30,আন্দালুশিয়ান,andulusian
31,লোখন্ডাওয়ালাতে,lokhandwalate
32,শ্রোতাকে,srotake
33,নামেও,nameo
34,গুণে,gune
35,হুড়োহুড়ির,hurohuri
36,বাহিনী,bahini
37,কিন্ডারগার্টেন,kindergarten
38,দেবীনা,debina
39,নান্টি,nanti
40,সার্বিয়ায়,serbiaay
41,পোড়খাওয়া,porkhawa
42,আবেদনেই,abedonei
43,সোনাঝরা,sonajhara
44,জিকো,jiko
45,চুম্বক,chumbok
46,ধুতিতে,dhutite
47,ছাঁটা,chata
48,পর্যটনমন্ত্রকের,porjotokmontroker
49,পূরব,purob
50,মন্দের,monder
51,সিন্ধায়াপাড়ার,sindhiaparar
52,রওনা,royna
53,ত্রিনেত্রর,trinetror
54,নীমেই,nimei
55,বৃদ্ধিটা,The growth a
56,ফ্যানাটিক,Fanatic
57,স্বৈরতান্ত্রিক,Swairatantrik
58,মৌমাছি,Moumachhi
59,আশ্বস্তই,Ashwastoi
60,বললনে,Bollone
61,সিংলা,Singla
62,ব্লাঁ,Blna
63,প়ড়েছে,Poreche
64,চমত্‌কার,Chomotkar
65,কুনো,Kuno
66,মেসেজে,Meseg
67,কায়েমের,Kayemer
68,ফুলতলা,Fultola
69,ঘাইও,Ghaiyo
70,মোদীগলিতে,Modigolite
71,দুর্গাকে,Durgake
72,আত্ম,Atto
73,দস্তিদারের,Dostidarer
74,সংহতিদিবসের,Songhotidiboser
75,সচিবালয়ও,sochibaloyo
76,ডলি,doli
77,সাতান্ন,satanno
78,পরিকল্পিতভাবেই,porikolpitovabei
79,১৭৯৯,1799
80,সন্তানহারা,shontanhara
81,COTI,কোটি
82,শোনা,Shona
83,ঝাপ,Jhaap
84,পাহাড়চূড়ায়,Pahar Churay
85,দলগুলিতে,Dolgulite
86,গোকুলে,Gokule
87,খস়ড়া,khosra
88,কনে,kone
89,হাবুল,habul
90,বদমেজাজি,bodmejaji
91,নাটোর,natore
92,রুটে,rute
93,১৯৯৩,1993
94,হার,har
95,KOHLI,Kohli
96,অগভীর,Ogobhir
97,স্থলযুদ্ধ,stholjuddho
98,অণ্ডালে,
99,স্থানেই,in place
100,পাবুক,pabuk
101,খানার,khanar
102,ভূমিহীন,vumihin
103,খেয়েও,kheyeo
104,শেষবেলার,seshbelar
105,রসিকতা,rosikota
106,১৯৫৫,1995
107,নিপুলবাবু,nipulbabu
108,বাধ্যতামূলক—,
109,বিশ্বাসী,biswashi
110,লানা,lana
111,ভাসা,vasha
112,তালিকাতে,talikate
113,অন্যান্যবার,onnannobar
114,রয়েছে…”,royechey
115,সহকর্মীরাই,sohokormirai
116,কিসিকে,kisike
117,সৌমজিত্,shoumojit
118,বিএমআই,BMI
119,জগত,world
120,চৈতালিকে,
121,নিজেরও,
122,মঞ্চেরও,34234234
123,চিকিত্‍করা,
124,ঠান্ডার,
125,জবাই,
126,শিবতলায়,
127,বাথরোব,sdads
128,মেহনতি,sdasdsd
129,নোটাতঙ্কে,sfasfsf
130,ক্যাবিনেটসচিবকে,sdasd
131,চিকিত্‍সা,sdasd
132,কুক্ষিগত,hello
133,বাছাড়পাড়ায়,
134,বিস্ফোরণের,
135,হয়েছে—টাকা,
136,ফুরসৎ,
137,কৃপাচার্য,
138,বিমুদ্রা,
139,আইএর,
140,বাণিজ্যমেলার,
141,আস্থাভোট,
142,উপলক্ষ্যেই,
143,ঝাড়িটা,
144,জানিয়েদিলেন,
145,ওশানে,
146,এটিএমের,
147,ছুঁয়েছিলাম,
148,লেপার্ড,
149,সুইনহো,
150,এমডিএস,
151,চিরাং,Chirang
152,উপান্তবাসী,upantobashi
153,বছরটাই,bochortai
154,শায়কে,Shayke
155,টানার,Tanar
156,বয়ঃজ‍্যেষ্ঠ,Boyojoyshtho
157,নীতিবোধ,nitibodh
158,অংশ—,ongsho
159,অামেরিকার,americar
160,পর্বতারোহী,bara
161,সমাজবিরোধীদেরও,bara
162,ভ্যালিদাই,sheme
163,জীবনদর্শনের,bajar
164,ক্যান্টনমেন্টের,hello
165,বাক্যটা,sentance
166,অথোরিটি,authority
167,ইভ্যাকুয়েশন,ivaluation
168,গড়,gor
169,ফাইনালস,finals
170,কাঠুরিয়ায়,kathuriay
171,উলটে,ulte
172,জেমসের,James er
173,গঙ্গে,gonge
174,বৃষ্টির,brishtir
175,এমারজেন্সি,emergency
176,নবনির্মিত,nobonirmito
177,পরিমাণকে,porimanke
178,সাতাশ,Satash
179,স্টপার,Stoper
180,ক্রিকেটারেরও,Kriketerero
