,comments,sentiment
0,Ami daraja  theke e'i panya kine santusta ,Positive
1,Karmaksamata bhala na,Negative
2,Ami daraja era kache  krtajna.,Positive
3,Eta abasya'i khuba bhala panya,Positive
4,Sampurna santusta.... Satyi'i cittakarsaka,Positive
5,100%  Jenu'ina pa'oyara byanka,Positive
6,Ekadama hita& phita ,Positive
7,"Khuba sundara hayeche moba'ilera sathe,",Positive
8,Asadharana ekati kabhara,Positive
9,Kisera tempara saba bhuya,Negative
10,Bheri guda pradakta enda sarbhisim,Positive
11,Gunamana  khuba kharapa,Negative
12,Jala panya.,Negative
13,"Pratyasita chila,",Positive
14,Tabe abhara'ala kesim pachanda hayeche.,Positive
15,Apanake asankhya dhan'yabada.,Positive
16,Apanara taka nasta karabena na!,Negative
17,Phresa chila dekhara bisaya phone lagale kemana haya,Positive
18,Sabaceye kharapa manera.,Negative
19,Asantosajanaka.,Negative
20,Bhala manera.,Positive
21,Pan'yati arijinala.,Positive
22,Eta khuba aramadayaka.,Negative
23,Phyabrika bhala na.,Negative
24,Kama dame asthira phona.,Positive
25,Arajinala phona.,Positive
26,Bhala sarbhisa pacchi.,Positive
27,Ami e'i panyera sathe khusi,Positive
28,Tulanamulaka kama dame sera prodakta,Positive
29,"Taka apacaya, puropuri!",Negative
30,Mana bhayanaka chila!,Negative
31,Apanadera esaba pyacano sistema bada dina.,Negative
32,Sundara cehara ebam akarsaniya.,Positive
33,Ami e'i ti-sarta parate bhalobasi.,Positive
34,Mana samparke khuba sandeha ne'i kona sandeha ne'i...,Positive
35,"Satyi'i khuba sasta,",Negative
36,E'i dame khuba bhalo phona,Positive
37,Sa'unda bhalo. Dhan'yabada,Positive
38,Etara upara theke stikara sare gela kena..?,Negative
39,Du'i nambara panya.,Negative
40,Pra'ija na kame bere gela.,Negative
41,Abasese huya'oye oya'i 9 kine santusta.,Positive
42,Ekhana paryanta apanara seba bhala.,Positive
43,Panya thika mane hacche.,Positive
44,Sera pa'oyara byanka,Positive
45,Panyati apatata kona disaka'unta aphara ne'i,Negative
46,Amara jibane dekha sabaca'ite kharapa panya.,Negative
47,Sampurnarupe ekati jala panya ,Negative
48,Prodaktati ardara anuyayi peyechi.,Positive
49,Kinate parena kona sandeha chara.,Positive
50,Bhala mane hayeche ekhana paryanta.,Positive
51,Kama takaya bhala phona.,Positive
52,Baje phona,Negative
