,Review,Liked
0,বাহ ... এই জায়গা পছন্দ।,1
1,ভূত্বক ভাল না।,0
2,সুস্বাদু নয় এবং টেক্সচারটি কেবল অদ্ভুত ছিল।,0
3,রিক স্টিভের সুপারিশ বন্ধ করে মে মাসের শেষের দিকে ছুটির সময় বন্ধ করে দেওয়া এবং এটি পছন্দ করে।,1
4,মেনুতে নির্বাচন দুর্দান্ত ছিল এবং দামগুলিও ছিল।,1
5,এখন আমি রেগে যাচ্ছি এবং আমি আমার অভিশাপ ফোও চাই।,0
6,সত্যিই এটি মাংসের স্বাদ পায়নি)),0
7,আলুগুলি রাবারের মতো ছিল এবং আপনি বলতে পারেন যে এগুলি একটি গরমের নিচে রাখার আগেই তৈরি করা হয়েছিল।,0
8,ফ্রাইও দুর্দান্ত ছিল।,1
9,একটি দুর্দান্ত স্পর্শ।,1
10,পরিষেবা খুব প্রম্পট ছিল।,1
11,ফিরে যেতে হবে না।,0
12,ক্যাশিয়ারের কোনও চিন্তা ছিল না যে এতক্ষণে আমার যা বলার ছিল তা এখনও শেষ হয়ে গেল অতিরিক্ত অর্থ ব্যয় করে।,0
13,"আমি কেপ কড রাভোলি, মুরগির সাথে ক্র্যানবেরি চেষ্টা করেছি ... মিমি!",1
14,আমি বিরক্ত হয়েছি কারণ আমি নিশ্চিত যে মানুষের চুল।,0
15,আমি হতবাক হয়ে গিয়েছিলাম কারণ কোনও লক্ষণ কেবল নগদ নির্দেশ করে না।,0
16,অত্যন্ত বাঞ্ছনীয়.,1
17,ওয়েটারস সেবারে কিছুটা ধীর ছিল।,0
18,"এই জায়গাটি আপনার সময়ের জন্য উপযুক্ত নয়, একা ভেগাসকে ছেড়ে দিন।",0
19,মোটেও পছন্দ হয়নি,0
20,বুরিটোস ব্লাহ!,0
21,"খাবার, আশ্চর্যজনক।",1
22,পরিষেবাও বুদ্ধিমান।,1
23,আমি কম যত্ন করতে পারে ... অভ্যন্তর ঠিক সুন্দর।,1
24,সুতরাং তারা অভিনয়।,1
25,ঠিক আছে .... লাল ভেলভেট কেক ..... ওহ এই জিনিস এত ভাল।,1
26,- তারা যে সালাদ আমাদের চেয়েছিল তা কখনই আনেনি।,0
